,central_d,delay,event_label,event_length,event_recalled,events,fc,movie,net1_label,net2_label,path_length,percent_events,peri_d,subject,window,fc_mc,boundary_diff
69,3.5,0,14,111.0,1.0,14,0.8714315670061148,barmaid,postHC,PMN,,0.8571428571428571,4.5,sub-104,offset,0.586292982069361,2.8947446197271347
70,5.5,0,1,48.0,1.0,1,-0.06923725958066922,barmaid,postHC,PMN,,1.0,6.5,sub-105,offset,-0.147349628650356,2.649126023054123
71,0.5,0,2,32.0,1.0,2,0.5088850408328659,barmaid,postHC,PMN,,1.0,12.0,sub-105,offset,0.4307726717631791,0.9773004949092865
72,5.0,0,3,51.0,1.0,3,0.7365282714731319,barmaid,postHC,PMN,,1.0,12.5,sub-105,offset,0.6584159024034452,2.1763466596603394
73,0.5,0,4,24.0,1.0,4,-0.06076307093992012,barmaid,postHC,PMN,,1.0,8.0,sub-105,offset,-0.13887544000960692,0.7357413843274117
74,7.5,0,5,91.0,1.0,5,-0.11149978888375019,barmaid,postHC,PMN,,1.0,13.0,sub-105,offset,-0.189612157953437,0.5627713948488235
75,2.0,0,6,41.0,1.0,6,0.434178655664025,barmaid,postHC,PMN,,1.0,13.5,sub-105,offset,0.35606628659433825,0.8014126420021057
76,4.0,0,7,98.0,1.0,7,0.03771212385640094,barmaid,postHC,PMN,,1.0,26.0,sub-105,offset,-0.040400245213285856,0.4112412433605641
77,0.0,0,8,31.0,1.0,8,0.2540817117955417,barmaid,postHC,PMN,,1.0,12.0,sub-105,offset,0.17596934272585488,1.5668528601527214
78,0.0,0,9,36.0,1.0,9,-0.25495064398155204,barmaid,postHC,PMN,,1.0,7.5,sub-105,offset,-0.33306301305123887,0.6676796600222588
79,0.0,0,10,55.0,1.0,10,-0.22213855639205504,barmaid,postHC,PMN,,1.0,20.5,sub-105,offset,-0.3002509254617418,1.708730660378933
80,4.0,0,11,63.0,1.0,11,0.250347101818771,barmaid,postHC,PMN,,1.0,19.0,sub-105,offset,0.1722347327490842,-1.7004289627075195
81,0.5,0,12,63.0,1.0,12,-0.2106194752886151,barmaid,postHC,PMN,,1.0,4.0,sub-105,offset,-0.2887318443583019,0.39654429256916046
82,2.5,0,13,81.0,1.0,13,0.09784554909586451,barmaid,postHC,PMN,,1.0,21.0,sub-105,offset,0.019733180026177716,-0.6269159447401762
83,7.0,0,14,111.0,1.0,14,-0.6317732929513578,barmaid,postHC,PMN,,1.0,17.5,sub-105,offset,-0.7098856620210445,0.6993796527385712
84,3.0,2,1,48.0,1.0,1,0.3054859504641051,barmaid,postHC,PMN,,0.5714285714285714,11.5,sub-106,offset,0.3190010360807494,-0.7304605692625046
85,0.0,2,2,32.0,0.0,2,-0.0427629202285942,barmaid,postHC,PMN,,0.5714285714285714,0.0,sub-106,offset,-0.029247834611949877,0.9677440710365772
86,7.0,2,3,51.0,1.0,3,0.3828986930906808,barmaid,postHC,PMN,,0.5714285714285714,14.5,sub-106,offset,0.39641377870732514,-0.5913466215133667
87,0.0,2,4,24.0,1.0,4,-0.33777122039454976,barmaid,postHC,PMN,,0.5714285714285714,4.0,sub-106,offset,-0.32425613477790544,-3.015595316886902
88,1.5,2,5,91.0,1.0,5,-0.16080837152570876,barmaid,postHC,PMN,,0.5714285714285714,5.0,sub-106,offset,-0.14729328590906443,1.2850987128913403
89,2.0,2,6,41.0,1.0,6,0.07348286631542224,barmaid,postHC,PMN,,0.5714285714285714,8.0,sub-106,offset,0.08699795193206657,1.5557813367340714
90,0.0,2,7,98.0,0.0,7,-0.3066318437635107,barmaid,postHC,PMN,,0.5714285714285714,0.0,sub-106,offset,-0.2931167581468664,-0.24611848569475114
91,0.0,2,8,31.0,0.0,8,-0.006852550322975159,barmaid,postHC,PMN,,0.5714285714285714,0.0,sub-106,offset,0.006662535293669166,-0.046323347836732864
92,0.0,2,9,36.0,0.0,9,0.15279941096432692,barmaid,postHC,PMN,,0.5714285714285714,0.0,sub-106,offset,0.16631449658097125,-1.2247315309941769
93,0.0,2,10,55.0,0.0,10,-0.15352408001742293,barmaid,postHC,PMN,,0.5714285714285714,0.0,sub-106,offset,-0.1400089944007786,-0.2856909707188606
94,0.5,2,11,63.0,1.0,11,-0.3259304549188244,barmaid,postHC,PMN,,0.5714285714285714,3.5,sub-106,offset,-0.31241536930218006,-0.5357219502329826
95,0.0,2,12,63.0,0.0,12,0.3686952525619418,barmaid,postHC,PMN,,0.5714285714285714,0.0,sub-106,offset,0.38221033817858613,0.5175372511148453
96,1.5,2,13,81.0,1.0,13,-0.605189335266767,barmaid,postHC,PMN,,0.5714285714285714,6.5,sub-106,offset,-0.5916742496501227,-0.2066550850868225
97,5.5,2,14,111.0,1.0,14,-1.0326607102997822,barmaid,postHC,PMN,,0.5714285714285714,6.5,sub-106,offset,-1.0191456246831379,3.1830606758594513
98,1.5,2,1,48.0,1.0,1,0.05464507204880597,barmaid,postHC,PMN,,0.9285714285714286,6.0,sub-108,offset,-0.09316470292863285,0.7395524680614471
99,0.0,2,2,32.0,1.0,2,0.4979072982536225,barmaid,postHC,PMN,,0.9285714285714286,2.5,sub-108,offset,0.3500975232761837,0.1438203752040863
100,6.0,2,3,51.0,1.0,3,0.13300382899153687,barmaid,postHC,PMN,,0.9285714285714286,3.5,sub-108,offset,-0.014805945985901958,-0.34189833886921406
101,2.0,2,4,24.0,1.0,4,0.059313845763420504,barmaid,postHC,PMN,,0.9285714285714286,3.5,sub-108,offset,-0.08849592921401833,0.7325975596904755
102,0.0,2,5,91.0,1.0,5,0.39954892089333766,barmaid,postHC,PMN,,0.9285714285714286,1.0,sub-108,offset,0.25173914591589885,0.6196740865707397
103,1.0,2,6,41.0,1.0,6,0.08505743995278081,barmaid,postHC,PMN,,0.9285714285714286,3.0,sub-108,offset,-0.06275233502465802,1.6287610083818436
