,central_d,delay,event_label,event_length,event_recalled,events,fc,movie,net1_label,net2_label,path_length,percent_events,peri_d,subject,window,boundary_diff,total_details,total_details_log,peri_d_log,fc_mc
28,3.5,2,1,48.0,1.0,1,0.18595502277468198,barmaid,postHC,PMN,,0.5,7.0,sub-102,offset,-0.1608705222606659,10.5,2.3513752571634776,1.9459101490553132,0.11628905381625902
32,1.0,2,5,91.0,1.0,5,0.17868475158829877,barmaid,postHC,PMN,,0.5,1.0,sub-102,offset,-0.28256936371326447,2.0,0.6931471805599453,0.0,0.10901878262987581
33,1.0,2,6,41.0,1.0,6,-0.28482383622979485,barmaid,postHC,PMN,,0.5,7.5,sub-102,offset,2.727473199367523,8.5,2.1400661634962708,2.0149030205422647,-0.3544898051882178
34,1.5,2,7,98.0,1.0,7,0.021118621789922114,barmaid,postHC,PMN,,0.5,3.5,sub-102,offset,0.8100979439914227,5.0,1.6094379124341003,1.252762968495368,-0.04854734716850084
37,0.0,2,10,55.0,1.0,10,0.10938962799010248,barmaid,postHC,PMN,,0.5,6.0,sub-102,offset,-0.3386218398809433,6.0,1.791759469228055,1.791759469228055,0.039723659031679515
38,0.0,2,11,63.0,1.0,11,0.8349438250824948,barmaid,postHC,PMN,,0.5,7.0,sub-102,offset,-0.63633032143116,7.0,1.9459101490553132,1.9459101490553132,0.7652778561240718
41,3.5,2,14,111.0,1.0,14,0.08471184401452626,barmaid,postHC,PMN,,0.5,3.5,sub-102,offset,-0.22244736552238464,7.0,1.9459101490553132,1.252762968495368,0.015045875056103303
42,2.5,2,1,48.0,1.0,1,-0.06508510236206777,barmaid,postHC,PMN,,0.42857142857142855,2.5,sub-103,offset,1.6669641435146332,5.0,1.6094379124341003,0.9162907318741551,-0.22877148554207205
44,3.5,2,3,51.0,1.0,3,-0.45336720105678835,barmaid,postHC,PMN,,0.42857142857142855,3.5,sub-103,offset,0.16804686933755875,7.0,1.9459101490553132,1.252762968495368,-0.6170535842367926
49,1.5,2,8,31.0,1.0,8,-0.0073288410498948235,barmaid,postHC,PMN,,0.42857142857142855,1.0,sub-103,offset,0.9455124512314796,2.5,0.9162907318741551,0.0,-0.1710152242298991
50,0.0,2,9,36.0,1.0,9,-0.13171996926263765,barmaid,postHC,PMN,,0.42857142857142855,3.0,sub-103,offset,-0.5655910149216652,3.0,1.0986122886681098,1.0986122886681098,-0.2954063524426419
52,3.0,2,11,63.0,1.0,11,0.5554319959909626,barmaid,postHC,PMN,,0.42857142857142855,2.0,sub-103,offset,0.7013211641460657,5.0,1.6094379124341003,0.6931471805599453,0.3917456128109583
55,5.0,2,14,111.0,1.0,14,0.8107321098688959,barmaid,postHC,PMN,,0.42857142857142855,4.0,sub-103,offset,0.946913406252861,9.0,2.1972245773362196,1.3862943611198906,0.6470457266888916
56,3.0,0,1,48.0,1.0,1,-0.06976719403175578,barmaid,postHC,PMN,,0.8571428571428571,4.0,sub-104,offset,1.0132777243852615,7.0,1.9459101490553132,1.3862943611198906,-0.34231452179714233
57,0.0,0,2,32.0,1.0,2,0.17552675620857636,barmaid,postHC,PMN,,0.8571428571428571,3.0,sub-104,offset,-2.2440985534340143,3.0,1.0986122886681098,1.0986122886681098,-0.09702057155681018
58,6.5,0,3,51.0,1.0,3,-0.10357310098682691,barmaid,postHC,PMN,,0.8571428571428571,3.5,sub-104,offset,-0.8850684240460396,10.0,2.302585092994046,1.252762968495368,-0.37612042875221346
59,1.5,0,4,24.0,1.0,4,0.8025354082736205,barmaid,postHC,PMN,,0.8571428571428571,4.5,sub-104,offset,-0.9890168942511082,6.0,1.791759469228055,1.5040773967762742,0.529988080508234
60,1.0,0,5,91.0,1.0,5,0.22830134926317255,barmaid,postHC,PMN,,0.8571428571428571,3.5,sub-104,offset,1.3387051969766617,4.5,1.5040773967762742,1.252762968495368,-0.044245978502213984
61,1.0,0,6,41.0,1.0,6,0.46233257599814764,barmaid,postHC,PMN,,0.8571428571428571,7.5,sub-104,offset,1.456149677745998,8.5,2.1400661634962708,2.0149030205422647,0.1897852482327611
62,1.5,0,7,98.0,1.0,7,0.38030060771248886,barmaid,postHC,PMN,,0.8571428571428571,6.0,sub-104,offset,3.5565560162067413,7.5,2.0149030205422647,1.791759469228055,0.10775327994710232
63,0.0,0,8,31.0,1.0,8,-0.06040932488777947,barmaid,postHC,PMN,,0.8571428571428571,6.0,sub-104,offset,-0.6870778203010559,6.0,1.791759469228055,1.791759469228055,-0.332956652653166
64,0.0,0,9,36.0,1.0,9,0.2972689697528815,barmaid,postHC,PMN,,0.8571428571428571,12.0,sub-104,offset,2.348609507083893,12.0,2.4849066497880004,2.4849066497880004,0.024721641987494936
66,3.0,0,11,63.0,1.0,11,0.5582105128878946,barmaid,postHC,PMN,,0.8571428571428571,8.0,sub-104,offset,-2.323927789926529,11.0,2.3978952727983707,2.0794415416798357,0.28566318512250805
68,0.5,0,13,81.0,1.0,13,0.22387772914645984,barmaid,postHC,PMN,,0.8571428571428571,6.5,sub-104,offset,1.4571608155965805,7.0,1.9459101490553132,1.8718021769015913,-0.048669598618926696
69,3.5,0,14,111.0,1.0,14,0.8714315670061148,barmaid,postHC,PMN,,0.8571428571428571,4.5,sub-104,offset,2.8947446197271347,8.0,2.0794415416798357,1.5040773967762742,0.5988842392407283
70,5.5,0,1,48.0,1.0,1,-0.06923725958066922,barmaid,postHC,PMN,,1.0,6.5,sub-105,offset,2.649126023054123,12.0,2.4849066497880004,1.8718021769015913,-0.15695109713642172
71,0.5,0,2,32.0,1.0,2,0.5088850408328659,barmaid,postHC,PMN,,1.0,12.0,sub-105,offset,0.9773004949092865,12.5,2.5257286443082556,2.4849066497880004,0.4211712032771134
72,5.0,0,3,51.0,1.0,3,0.7365282714731319,barmaid,postHC,PMN,,1.0,12.5,sub-105,offset,2.1763466596603394,17.5,2.8622008809294686,2.5257286443082556,0.6488144339173795
73,0.5,0,4,24.0,1.0,4,-0.06076307093992012,barmaid,postHC,PMN,,1.0,8.0,sub-105,offset,0.7357413843274117,8.5,2.1400661634962708,2.0794415416798357,-0.14847690849567263
74,7.5,0,5,91.0,1.0,5,-0.11149978888375019,barmaid,postHC,PMN,,1.0,13.0,sub-105,offset,0.5627713948488235,20.5,3.0204248861443626,2.5649493574615367,-0.1992136264395027
75,2.0,0,6,41.0,1.0,6,0.434178655664025,barmaid,postHC,PMN,,1.0,13.5,sub-105,offset,0.8014126420021057,15.5,2.740840023925201,2.6026896854443837,0.3464648181082725
76,4.0,0,7,98.0,1.0,7,0.03771212385640094,barmaid,postHC,PMN,,1.0,26.0,sub-105,offset,0.4112412433605641,30.0,3.4011973816621555,3.258096538021482,-0.05000171369935156
77,0.0,0,8,31.0,1.0,8,0.2540817117955417,barmaid,postHC,PMN,,1.0,12.0,sub-105,offset,1.5668528601527214,12.0,2.4849066497880004,2.4849066497880004,0.16636787423978916
78,0.0,0,9,36.0,1.0,9,-0.25495064398155204,barmaid,postHC,PMN,,1.0,7.5,sub-105,offset,0.6676796600222588,7.5,2.0149030205422647,2.0149030205422647,-0.34266448153730455
79,0.0,0,10,55.0,1.0,10,-0.22213855639205504,barmaid,postHC,PMN,,1.0,20.5,sub-105,offset,1.708730660378933,20.5,3.0204248861443626,3.0204248861443626,-0.30985239394780756
80,4.0,0,11,63.0,1.0,11,0.250347101818771,barmaid,postHC,PMN,,1.0,19.0,sub-105,offset,-1.7004289627075195,23.0,3.1354942159291497,2.9444389791664403,0.1626332642630185
81,0.5,0,12,63.0,1.0,12,-0.2106194752886151,barmaid,postHC,PMN,,1.0,4.0,sub-105,offset,0.39654429256916046,4.5,1.5040773967762742,1.3862943611198906,-0.2983333128443676
82,2.5,0,13,81.0,1.0,13,0.09784554909586451,barmaid,postHC,PMN,,1.0,21.0,sub-105,offset,-0.6269159447401762,23.5,3.1570004211501135,3.044522437723423,0.010131711540112012
83,7.0,0,14,111.0,1.0,14,-0.6317732929513578,barmaid,postHC,PMN,,1.0,17.5,sub-105,offset,0.6993796527385712,24.5,3.1986731175506815,2.8622008809294686,-0.7194871305071102
84,3.0,2,1,48.0,1.0,1,0.3054859504641051,barmaid,postHC,PMN,,0.5714285714285714,11.5,sub-106,offset,-0.7304605692625046,14.5,2.6741486494265287,2.4423470353692043,0.3087560266415305
86,7.0,2,3,51.0,1.0,3,0.3828986930906808,barmaid,postHC,PMN,,0.5714285714285714,14.5,sub-106,offset,-0.5913466215133667,21.5,3.068052935133617,2.6741486494265287,0.3861687692681062
87,0.0,2,4,24.0,1.0,4,-0.33777122039454976,barmaid,postHC,PMN,,0.5714285714285714,4.0,sub-106,offset,-3.015595316886902,4.0,1.3862943611198906,1.3862943611198906,-0.33450114421712435
88,1.5,2,5,91.0,1.0,5,-0.16080837152570876,barmaid,postHC,PMN,,0.5714285714285714,5.0,sub-106,offset,1.2850987128913403,6.5,1.8718021769015913,1.6094379124341003,-0.15753829534828334
89,2.0,2,6,41.0,1.0,6,0.07348286631542224,barmaid,postHC,PMN,,0.5714285714285714,8.0,sub-106,offset,1.5557813367340714,10.0,2.302585092994046,2.0794415416798357,0.07675294249284764
94,0.5,2,11,63.0,1.0,11,-0.3259304549188244,barmaid,postHC,PMN,,0.5714285714285714,3.5,sub-106,offset,-0.5357219502329826,4.0,1.3862943611198906,1.252762968495368,-0.32266037874139897
96,1.5,2,13,81.0,1.0,13,-0.605189335266767,barmaid,postHC,PMN,,0.5714285714285714,6.5,sub-106,offset,-0.2066550850868225,8.0,2.0794415416798357,1.8718021769015913,-0.6019192590893416
97,5.5,2,14,111.0,1.0,14,-1.0326607102997822,barmaid,postHC,PMN,,0.5714285714285714,6.5,sub-106,offset,3.1830606758594513,12.0,2.4849066497880004,1.8718021769015913,-1.0293906341223569
98,1.5,2,1,48.0,1.0,1,0.05464507204880597,barmaid,postHC,PMN,,0.9285714285714286,6.0,sub-108,offset,0.7395524680614471,7.5,2.0149030205422647,1.791759469228055,-0.09335396250182218
99,0.0,2,2,32.0,1.0,2,0.4979072982536225,barmaid,postHC,PMN,,0.9285714285714286,2.5,sub-108,offset,0.1438203752040863,2.5,0.9162907318741551,0.9162907318741551,0.3499082637029943
100,6.0,2,3,51.0,1.0,3,0.13300382899153687,barmaid,postHC,PMN,,0.9285714285714286,3.5,sub-108,offset,-0.34189833886921406,9.5,2.2512917986064953,1.252762968495368,-0.014995205559091285
101,2.0,2,4,24.0,1.0,4,0.059313845763420504,barmaid,postHC,PMN,,0.9285714285714286,3.5,sub-108,offset,0.7325975596904755,5.5,1.7047480922384253,1.252762968495368,-0.08868518878720766
102,0.0,2,5,91.0,1.0,5,0.39954892089333766,barmaid,postHC,PMN,,0.9285714285714286,1.0,sub-108,offset,0.6196740865707397,1.0,0.0,0.0,0.25154988634270947
103,1.0,2,6,41.0,1.0,6,0.08505743995278081,barmaid,postHC,PMN,,0.9285714285714286,3.0,sub-108,offset,1.6287610083818436,4.0,1.3862943611198906,1.0986122886681098,-0.06294159459784734
104,1.0,2,7,98.0,1.0,7,0.048401378107699566,barmaid,postHC,PMN,,0.9285714285714286,2.0,sub-108,offset,-0.45215658843517303,3.0,1.0986122886681098,0.6931471805599453,-0.09959765644292859
105,0.0,2,8,31.0,1.0,8,0.21804026017514155,barmaid,postHC,PMN,,0.9285714285714286,3.0,sub-108,offset,-0.28714367747306824,3.0,1.0986122886681098,1.0986122886681098,0.0700412256245134
107,0.0,2,10,55.0,1.0,10,0.18949076417883762,barmaid,postHC,PMN,,0.9285714285714286,4.0,sub-108,offset,2.1957719922065735,4.0,1.3862943611198906,1.3862943611198906,0.04149172962820946
108,1.5,2,11,63.0,1.0,11,0.21427938494948875,barmaid,postHC,PMN,,0.9285714285714286,3.5,sub-108,offset,-0.3304283320903778,5.0,1.6094379124341003,1.252762968495368,0.0662803503988606
